filename;class_id;rel_x;rel_y;width;height
3 (37).jpg;1;0.2706628475549086;0.5249907412987873;0.12035476036791531;0.1682530453414598
3 (37).jpg;0;0.22549416883936468;0.6318837702922742;0.03882235401081589;0.046407130093754086
3 (51).jpg;1;0.28943119408949364;0.3515607939205409;0.1086206796034327;0.27785577909717
3 (51).jpg;1;0.6311790178406913;0.41249766521374054;0.2332739200232164;0.1923382426305795
3 (51).jpg;0;0.5827566182838296;0.5419224197196162;0.02802100271548865;0.04379706697982724
2 (3).jpg;4;0.20873328874695976;0.6063774859057312;0.10114473666784898;0.07138263271443515
2 (3).jpg;4;0.046581974569356664;0.1089923827518479;0.09296686244460772;0.04983898254617986
2 (3).jpg;1;0.4337851326420622;0.4064659129825097;0.08762042927292157;0.535199730206733
2 (3).jpg;2;0.4340368306861733;0.703334657677048;0.02861026547989755;0.05644593434353753
2 (3).jpg;1;0.41721628297050045;0.8826621645364802;0.09427599637013562;0.0715094801771092
2 (3).jpg;2;0.4361364616537994;0.8542711597905499;0.026511426241892688;0.07224932012198859
2 (3).jpg;2;0.4281009098268905;0.4603241025852857;0.015870652108822228;0.04511164741037281
2 (3).jpg;2;0.41986828929973097;0.13943488388380743;0.03306450034087559;0.06806511248504767
2 (3).jpg;2;0.419066051267228;0.982176569854864;0.019053909013856132;0.024261597190441946
83.jpg;0;0.4815656344095866;0.4400427669949002;0.02818406422932943;0.14442018127441406
83.jpg;0;0.39547100067138674;0.4509515211317275;0.02804845174153646;0.1426466522216797
83.jpg;0;0.4017064094543457;0.7335142610337999;0.020337994893391928;0.03590471055772569
3 (97).jpg;2;0.39182000790002214;0.4152523174844526;0.06383957053130528;0.12144316749093921
3 (97).jpg;0;0.4955199259632039;0.7042469423685114;0.02532196044921875;0.057497214472942273
3 (97).jpg;2;0.025648578157964744;0.4899719142514792;0.020384797510111106;0.0464200125977584
3 (97).jpg;1;0.4697664368827388;0.6171179911082759;0.10716344725410894;0.08849760430627288
103.jpg;0;0.3806934356689453;0.46026229858398443;0.030501906077067056;0.1685319989522298
103.jpg;0;0.4791481653849284;0.4542949684990777;0.025674947102864585;0.16936899863349067
103.jpg;0;0.3946207046508789;0.9426233893500434;0.02295064926147461;0.04089569939507379
103.jpg;0;0.47161235809326174;0.9422244703504775;0.020807838439941405;0.04026941257052952
103.jpg;0;0.3110218048095703;0.926486575656467;0.049085744222005206;0.11046885342068143
102.jpg;0;0.38093916575113934;0.4658909776475694;0.03162024815877278;0.15934683397081165
102.jpg;0;0.4795717239379883;0.45974234347873266;0.02661298116048177;0.1649484299553765
102.jpg;0;0.3948113441467285;0.9466195814344618;0.021843910217285156;0.04022319878472222
