filename;class_id;rel_x;rel_y;width;height
3 (37).jpg;1;0.27043556717206846;0.526645860552289;0.12012765992362544;0.1680508804321289
3 (37).jpg;0;0.22680863794290795;0.6321502347172056;0.034153344496241154;0.04628966199803053
3 (51).jpg;1;0.28810792599084245;0.3513519334992604;0.113692895421442;0.2759397043842651
3 (51).jpg;0;0.5819697829912294;0.5423444912323893;0.027611318624244548;0.04485874351597231
3 (51).jpg;1;0.6296627836407356;0.4118028575306657;0.23113049201245578;0.1909531756923787
2 (3).jpg;1;0.4173664596845519;0.8827570882501962;0.09291055067530218;0.07067889768209418
2 (3).jpg;1;0.43160474525307707;0.4103469368204412;0.08143572537404187;0.5296181028358109
2 (3).jpg;2;0.4207688457560989;0.13946262646918517;0.0331268310546875;0.0653984412189308
2 (3).jpg;2;0.4344637169028228;0.7032447626600705;0.028645641398879717;0.05657961857368757
2 (3).jpg;4;0.04925300940027777;0.10946150648045241;0.09608577332406673;0.04753417262472368
2 (3).jpg;2;0.4361615450877064;0.8551619736420061;0.02583474932976489;0.07323675275347721
2 (3).jpg;4;0.21027795323785745;0.6076835910046948;0.10151710150376805;0.0765069311932041
2 (3).jpg;2;0.42733851018941627;0.45973373923840377;0.016348065070386202;0.04366863745525791
2 (3).jpg;2;0.4190886155614313;0.9825827077442633;0.018593842128537735;0.024099435846177103
2 (3).jpg;4;0.5137311107707474;0.10123343563478861;0.059906761601286114;0.044763636170072035
83.jpg;0;0.4816704750061035;0.7316402520073785;0.022033882141113282;0.0368852530585395
83.jpg;0;0.39517733256022136;0.4543969489203559;0.0295655886332194;0.15937049102783205
83.jpg;0;0.40293064117431643;0.7382562255859375;0.0199037233988444;0.03850833723280165
83.jpg;0;0.48312978744506835;0.43955072021484376;0.023844528198242187;0.14720563719007704
3 (97).jpg;1;0.4689377838710569;0.6191752930964386;0.1077963631108122;0.08768747561147522
3 (97).jpg;2;0.3910051381812905;0.4126199077462551;0.06399989577959168;0.1151325203484571
3 (97).jpg;2;0.026074780608123203;0.49152120486462964;0.020227405260194023;0.045434924808007406
3 (97).jpg;0;0.49628412498618074;0.7036204458579857;0.024835010744490713;0.05667646336256211
103.jpg;0;0.38194700876871746;0.46458558824327256;0.027677186330159507;0.16778230031331381
103.jpg;0;0.47892284393310547;0.4539889272054037;0.029907830556233726;0.165487915886773
103.jpg;0;0.47331743240356444;0.944727517022027;0.021832656860351563;0.038272416856553824
103.jpg;0;0.39474287033081057;0.9441082322862413;0.018920199076334635;0.04223970031738281
102.jpg;0;0.4793559710184733;0.4642861989339193;0.029343096415201823;0.16511740536159938
102.jpg;0;0.3843886693318685;0.47269610765245224;0.03242403666178385;0.1719844538370768
102.jpg;0;0.47227223714192706;0.9474632331000435;0.021734205881754558;0.04046076965332031
52.jpg;0;0.4167620658874512;0.8287678756713868;0.022450955708821614;0.13830255635579428
52.jpg;0;0.5043668746948242;0.8293870103624131;0.026203695933024088;0.14044249471028644
3 (125).jpg;1;0.08225270037381154;0.49188214098559263;0.04884150343121223;0.08426372416348636
3 (125).jpg;2;0.3441008081975973;0.564013936509647;0.019339435505417158;0.032986781547259085
3 (125).jpg;1;0.2915315088236107;0.4755812532432907;0.12909513149621352;0.11910990870647352
3 (125).jpg;1;0.24269445887151755;0.6123722009379495;0.06129876622613871;0.085226182817914
3 (125).jpg;2;0.0846556177679098;0.5052062662675291;0.015082566243297648;0.036446355396733625
3 (125).jpg;2;0.56394451069382;0.4414548221093342;0.02694162332786704;0.03556274557712188
